trade_date,data_source,symbol,candidate_rank,signal_type,market_event_time,evidence_count,attribution_count,knowledge_preparation_status,supplied_context_id,k_ref_count,historical_knowledge_count,retrospective_knowledge_count,synthesis_status,provider_invocation_count,input_tokens,total_tokens,synthesis_duration_ms,causal_validation_status,pit_violation_count,final_inclusion_status
2026-08-24,SYNTHETIC_FIXTURE,601330.SH,1,price_volume_amount,2026-08-24T15:00:00+08:00,1,1,READY,e68060fafe8eb942162452ee2a3b62c884876a7ed569467ee88696109a06eb50,1,1,0,GENERATED,1,,,,PASS,0,INCLUDED
2026-08-24,SYNTHETIC_FIXTURE,601331.SH,2,price_volume_amount,2026-08-24T15:00:00+08:00,1,1,EMPTY,f4c970862f0bd9c4c8135f534f76bdca6bedc9e78c7b6832c4e37d57f31e90c0,0,0,0,GENERATED,1,,,,PASS,0,INCLUDED
2026-08-25,SYNTHETIC_FIXTURE,601330.SH,1,price_volume_amount,2026-08-25T15:00:00+08:00,1,1,READY,a745a3f4e43afabb9c936148d94e06a63d8c687ce1c445899b204dbcf946fb7b,1,1,0,GENERATED,1,,,,PASS,0,INCLUDED
2026-08-25,SYNTHETIC_FIXTURE,601331.SH,2,price_volume_amount,2026-08-25T15:00:00+08:00,1,1,EMPTY,ae445f756f7d9c1b5bf4693b93473743e3adc888a6e47a77780d383bc638d218,0,0,0,GENERATED,1,,,,PASS,0,INCLUDED
2026-08-26,SYNTHETIC_FIXTURE,601330.SH,1,price_volume_amount,2026-08-26T15:00:00+08:00,1,1,READY,3d8e01172708b3b76dbb788642f7fcdbaf3d4951021f47f13e24ae24cc507e80,1,1,0,GENERATED,1,,,,PASS,0,INCLUDED
2026-08-26,SYNTHETIC_FIXTURE,601331.SH,2,price_volume_amount,2026-08-26T15:00:00+08:00,1,1,EMPTY,ea59a0168a87053fa44c5c5d7e80592a39044785c32df4070ddd8701e4ea69bd,0,0,0,GENERATED,1,,,,PASS,0,INCLUDED
2026-08-27,SYNTHETIC_FIXTURE,601330.SH,1,price_volume_amount,2026-08-27T15:00:00+08:00,1,1,READY,3de8a6eeccd3e4da55f3e395b7e140bdd374f0e483a9a95bdb2b26959ed027b6,1,1,0,GENERATED,1,,,,PASS,0,INCLUDED
2026-08-27,SYNTHETIC_FIXTURE,601331.SH,2,price_volume_amount,2026-08-27T15:00:00+08:00,1,1,EMPTY,681cde9fcfd5d6d5f4c030f9bef39a3b56490dc095b3303a475c7f58d458ccaf,0,0,0,GENERATED,1,,,,PASS,0,INCLUDED
2026-08-28,SYNTHETIC_FIXTURE,601330.SH,1,price_volume_amount,2026-08-28T15:00:00+08:00,1,1,READY,5d368af50617cd59f3cf1381c1e210ba0a59aa1f1191f06ac88fd09b3a19ef20,1,1,0,GENERATED,1,,,,PASS,0,INCLUDED
2026-08-28,SYNTHETIC_FIXTURE,601331.SH,2,price_volume_amount,2026-08-28T15:00:00+08:00,1,1,EMPTY,86f920cbc651d9e2ff4cd89448098643fd775812effb674bf2421050988de114,0,0,0,GENERATED,1,,,,PASS,0,INCLUDED
2026-08-31,SYNTHETIC_FIXTURE,601330.SH,1,price_volume_amount,2026-08-31T15:00:00+08:00,1,1,READY,937f4c4923f065cb5a64e83102f4fbb912a1da7d6da306fd9ed3d27a26709097,1,1,0,GENERATED,1,,,,PASS,0,INCLUDED
2026-08-31,SYNTHETIC_FIXTURE,601331.SH,2,price_volume_amount,2026-08-31T15:00:00+08:00,1,1,EMPTY,0defe39d38878f14f6d884e087bd3c3da4212d8ae6682be4078acd6a22d75dba,0,0,0,GENERATED,1,,,,PASS,0,INCLUDED
2026-09-01,SYNTHETIC_FIXTURE,601330.SH,1,price_volume_amount,2026-09-01T15:00:00+08:00,1,1,READY,79fb6a314fb01dd07c3c634ad3e46997a0e39c66e1afc83b4372e3a3733d4587,1,1,0,GENERATED,1,,,,PASS,0,INCLUDED
2026-09-01,SYNTHETIC_FIXTURE,601331.SH,2,price_volume_amount,2026-09-01T15:00:00+08:00,1,1,EMPTY,4094e69d026ff578c263255a1acd45f0febe8db6968296e6c6d26ed79babffa8,0,0,0,GENERATED,1,,,,PASS,0,INCLUDED
2026-09-02,SYNTHETIC_FIXTURE,601330.SH,1,price_volume_amount,2026-09-02T15:00:00+08:00,1,1,READY,2635f1b248dcb2fd7d04da9b47384b4b554912775208172bf09ea99d3e0ce513,1,1,0,GENERATED,1,,,,PASS,0,INCLUDED
2026-09-02,SYNTHETIC_FIXTURE,601331.SH,2,price_volume_amount,2026-09-02T15:00:00+08:00,1,1,EMPTY,a6872c271e27d1fe0aef34a94f50d03a08c92f6bf77b6c996362a86ed8775752,0,0,0,GENERATED,1,,,,PASS,0,INCLUDED
2026-09-03,SYNTHETIC_FIXTURE,601330.SH,1,price_volume_amount,2026-09-03T15:00:00+08:00,1,1,READY,484b648963e5c4dd213b3b5136ad949cf6676d6775fd4b1de13d97825663b0bf,1,1,0,GENERATED,1,,,,PASS,0,INCLUDED
